,index,observed,astoro,deviation,datetime
0,10800,67.23,69.74,-2.509999999999991,2011-03-11 15:00:00
1,10801,67.06,69.71,-2.6499999999999915,2011-03-11 15:00:05
2,10802,66.91,69.68,-2.7700000000000102,2011-03-11 15:00:10
3,10803,66.77,69.65,-2.8800000000000097,2011-03-11 15:00:15
4,10804,66.65,69.62,-2.969999999999999,2011-03-11 15:00:20
5,10805,66.54,69.59,-3.049999999999997,2011-03-11 15:00:25
6,10806,66.45,69.56,-3.1099999999999994,2011-03-11 15:00:30
7,10807,66.39,69.53,-3.1400000000000006,2011-03-11 15:00:35
8,10808,66.37,69.5,-3.1299999999999955,2011-03-11 15:00:40
9,10809,66.37,69.47,-3.0999999999999943,2011-03-11 15:00:45
10,10810,66.42,69.43,-3.010000000000005,2011-03-11 15:00:50
11,10811,66.5,69.4,-2.9000000000000057,2011-03-11 15:00:55
12,10812,66.62,69.37,-2.75,2011-03-11 15:01:00
13,10813,66.79,69.34,-2.549999999999997,2011-03-11 15:01:05
14,10814,67.01,69.31,-2.299999999999997,2011-03-11 15:01:10
15,10815,67.23,69.28,-2.049999999999997,2011-03-11 15:01:15
16,10816,67.45,69.25,-1.7999999999999972,2011-03-11 15:01:20
17,10817,67.65,69.22,-1.5699999999999932,2011-03-11 15:01:25
18,10818,67.82,69.19,-1.3700000000000045,2011-03-11 15:01:30
19,10819,67.95,69.16,-1.2099999999999937,2011-03-11 15:01:35
20,10820,68.02,69.12,-1.1000000000000085,2011-03-11 15:01:40
21,10821,68.02,69.09,-1.0700000000000074,2011-03-11 15:01:45
22,10822,67.95,69.06,-1.1099999999999994,2011-03-11 15:01:50
23,10823,67.81,69.03,-1.2199999999999989,2011-03-11 15:01:55
24,10824,67.62,69.0,-1.3799999999999955,2011-03-11 15:02:00
25,10825,67.41,68.97,-1.5600000000000023,2011-03-11 15:02:05
26,10826,67.19,68.94,-1.75,2011-03-11 15:02:10
27,10827,66.99,68.91,-1.9200000000000017,2011-03-11 15:02:15
28,10828,66.8,68.87,-2.0700000000000074,2011-03-11 15:02:20
29,10829,66.64,68.84,-2.200000000000003,2011-03-11 15:02:25
30,10830,66.55,68.81,-2.260000000000005,2011-03-11 15:02:30
31,10831,66.52,68.78,-2.260000000000005,2011-03-11 15:02:35
32,10832,66.54,68.75,-2.2099999999999937,2011-03-11 15:02:40
33,10833,66.6,68.72,-2.1200000000000045,2011-03-11 15:02:45
34,10834,66.68,68.68,-2.0,2011-03-11 15:02:50
35,10835,66.75,68.65,-1.9000000000000057,2011-03-11 15:02:55
36,10836,66.83,68.62,-1.7900000000000063,2011-03-11 15:03:00
