,index,observed,astoro,deviation,datetime
0,10800,-56.44,-53.47,-2.969999999999999,2011-03-11 15:00:00
1,10801,-56.4,-53.48,-2.9200000000000017,2011-03-11 15:00:05
2,10802,-56.35,-53.49,-2.8599999999999994,2011-03-11 15:00:10
3,10803,-56.32,-53.5,-2.8200000000000003,2011-03-11 15:00:15
4,10804,-56.29,-53.52,-2.769999999999996,2011-03-11 15:00:20
5,10805,-56.27,-53.53,-2.740000000000002,2011-03-11 15:00:25
6,10806,-56.27,-53.54,-2.730000000000004,2011-03-11 15:00:30
7,10807,-56.29,-53.55,-2.740000000000002,2011-03-11 15:00:35
8,10808,-56.33,-53.56,-2.769999999999996,2011-03-11 15:00:40
9,10809,-56.38,-53.57,-2.8100000000000023,2011-03-11 15:00:45
10,10810,-56.43,-53.58,-2.8500000000000014,2011-03-11 15:00:50
11,10811,-56.51,-53.59,-2.9199999999999946,2011-03-11 15:00:55
12,10812,-56.6,-53.61,-2.990000000000002,2011-03-11 15:01:00
13,10813,-56.7,-53.62,-3.0800000000000054,2011-03-11 15:01:05
14,10814,-56.8,-53.63,-3.1699999999999946,2011-03-11 15:01:10
15,10815,-56.9,-53.64,-3.259999999999998,2011-03-11 15:01:15
16,10816,-56.97,-53.65,-3.3200000000000003,2011-03-11 15:01:20
17,10817,-57.03,-53.66,-3.3700000000000045,2011-03-11 15:01:25
18,10818,-57.07,-53.67,-3.3999999999999986,2011-03-11 15:01:30
19,10819,-57.08,-53.68,-3.3999999999999986,2011-03-11 15:01:35
20,10820,-57.05,-53.69,-3.3599999999999994,2011-03-11 15:01:40
21,10821,-56.97,-53.7,-3.269999999999996,2011-03-11 15:01:45
22,10822,-56.87,-53.72,-3.1499999999999986,2011-03-11 15:01:50
23,10823,-56.74,-53.73,-3.010000000000005,2011-03-11 15:01:55
24,10824,-56.58,-53.74,-2.8399999999999963,2011-03-11 15:02:00
25,10825,-56.4,-53.75,-2.6499999999999986,2011-03-11 15:02:05
26,10826,-56.23,-53.76,-2.469999999999999,2011-03-11 15:02:10
27,10827,-56.07,-53.77,-2.299999999999997,2011-03-11 15:02:15
28,10828,-55.93,-53.78,-2.1499999999999986,2011-03-11 15:02:20
29,10829,-55.83,-53.79,-2.039999999999999,2011-03-11 15:02:25
30,10830,-55.78,-53.8,-1.980000000000004,2011-03-11 15:02:30
31,10831,-55.76,-53.81,-1.9499999999999957,2011-03-11 15:02:35
32,10832,-55.78,-53.82,-1.9600000000000009,2011-03-11 15:02:40
33,10833,-55.84,-53.83,-2.010000000000005,2011-03-11 15:02:45
34,10834,-55.95,-53.85,-2.1000000000000014,2011-03-11 15:02:50
35,10835,-56.1,-53.86,-2.240000000000002,2011-03-11 15:02:55
36,10836,-56.26,-53.87,-2.3900000000000006,2011-03-11 15:03:00
37,10837,-56.41,-53.88,-2.529999999999994,2011-03-11 15:03:05
38,10838,-56.57,-53.89,-2.6799999999999997,2011-03-11 15:03:10
39,10839,-56.71,-53.9,-2.8100000000000023,2011-03-11 15:03:15
40,10840,-56.84,-53.91,-2.930000000000007,2011-03-11 15:03:20
41,10841,-56.94,-53.92,-3.019999999999996,2011-03-11 15:03:25
42,10842,-57.01,-53.93,-3.0799999999999983,2011-03-11 15:03:30
43,10843,-57.05,-53.94,-3.1099999999999994,2011-03-11 15:03:35
44,10844,-57.06,-53.95,-3.1099999999999994,2011-03-11 15:03:40
45,10845,-57.06,-53.96,-3.1000000000000014,2011-03-11 15:03:45
46,10846,-57.02,-53.97,-3.0500000000000043,2011-03-11 15:03:50
47,10847,-56.97,-53.98,-2.990000000000002,2011-03-11 15:03:55
48,10848,-56.92,-53.99,-2.9299999999999997,2011-03-11 15:04:00
49,10849,-56.87,-54.0,-2.8699999999999974,2011-03-11 15:04:05
50,10850,-56.84,-54.01,-2.8300000000000054,2011-03-11 15:04:10
51,10851,-56.82,-54.02,-2.799999999999997,2011-03-11 15:04:15
52,10852,-56.83,-54.04,-2.789999999999999,2011-03-11 15:04:20
53,10853,-56.86,-54.05,-2.8100000000000023,2011-03-11 15:04:25
54,10854,-56.91,-54.06,-2.8499999999999943,2011-03-11 15:04:30
55,10855,-56.98,-54.07,-2.9099999999999966,2011-03-11 15:04:35
56,10856,-57.06,-54.08,-2.980000000000004,2011-03-11 15:04:40
57,10857,-57.15,-54.09,-3.059999999999995,2011-03-11 15:04:45
58,10858,-57.26,-54.1,-3.1599999999999966,2011-03-11 15:04:50
59,10859,-57.34,-54.11,-3.230000000000004,2011-03-11 15:04:55
60,10860,-57.4,-54.12,-3.280000000000001,2011-03-11 15:05:00
61,10861,-57.44,-54.13,-3.309999999999995,2011-03-11 15:05:05
62,10862,-57.46,-54.14,-3.3200000000000003,2011-03-11 15:05:10
63,10863,-57.46,-54.15,-3.3100000000000023,2011-03-11 15:05:15
64,10864,-57.44,-54.16,-3.280000000000001,2011-03-11 15:05:20
65,10865,-57.42,-54.17,-3.25,2011-03-11 15:05:25
66,10866,-57.4,-54.18,-3.219999999999999,2011-03-11 15:05:30
67,10867,-57.39,-54.19,-3.200000000000003,2011-03-11 15:05:35
68,10868,-57.38,-54.2,-3.1799999999999997,2011-03-11 15:05:40
69,10869,-57.38,-54.21,-3.1700000000000017,2011-03-11 15:05:45
70,10870,-57.41,-54.22,-3.1899999999999977,2011-03-11 15:05:50
71,10871,-57.46,-54.23,-3.230000000000004,2011-03-11 15:05:55
72,10872,-57.53,-54.24,-3.289999999999999,2011-03-11 15:06:00
73,10873,-57.58,-54.25,-3.3299999999999983,2011-03-11 15:06:05
74,10874,-57.65,-54.26,-3.3900000000000006,2011-03-11 15:06:10
75,10875,-57.72,-54.27,-3.4499999999999957,2011-03-11 15:06:15
76,10876,-57.79,-54.28,-3.509999999999998,2011-03-11 15:06:20
77,10877,-57.83,-54.29,-3.539999999999999,2011-03-11 15:06:25
78,10878,-57.85,-54.3,-3.5500000000000043,2011-03-11 15:06:30
79,10879,-57.84,-54.31,-3.530000000000001,2011-03-11 15:06:35
80,10880,-57.82,-54.32,-3.5,2011-03-11 15:06:40
81,10881,-57.8,-54.33,-3.469999999999999,2011-03-11 15:06:45
82,10882,-57.78,-54.34,-3.4399999999999977,2011-03-11 15:06:50
83,10883,-57.73,-54.35,-3.3799999999999955,2011-03-11 15:06:55
84,10884,-57.66,-54.36,-3.299999999999997,2011-03-11 15:07:00
85,10885,-57.61,-54.37,-3.240000000000002,2011-03-11 15:07:05
86,10886,-57.55,-54.38,-3.1699999999999946,2011-03-11 15:07:10
87,10887,-57.49,-54.39,-3.1000000000000014,2011-03-11 15:07:15
88,10888,-57.46,-54.4,-3.0600000000000023,2011-03-11 15:07:20
89,10889,-57.44,-54.41,-3.030000000000001,2011-03-11 15:07:25
90,10890,-57.45,-54.41,-3.0400000000000063,2011-03-11 15:07:30
91,10891,-57.45,-54.42,-3.030000000000001,2011-03-11 15:07:35
92,10892,-57.46,-54.43,-3.030000000000001,2011-03-11 15:07:40
93,10893,-57.5,-54.44,-3.0600000000000023,2011-03-11 15:07:45
94,10894,-57.57,-54.45,-3.1199999999999974,2011-03-11 15:07:50
95,10895,-57.63,-54.46,-3.1700000000000017,2011-03-11 15:07:55
96,10896,-57.69,-54.47,-3.219999999999999,2011-03-11 15:08:00
97,10897,-57.76,-54.48,-3.280000000000001,2011-03-11 15:08:05
98,10898,-57.83,-54.49,-3.3399999999999963,2011-03-11 15:08:10
99,10899,-57.9,-54.5,-3.3999999999999986,2011-03-11 15:08:15
100,10900,-57.95,-54.51,-3.440000000000005,2011-03-11 15:08:20
101,10901,-57.97,-54.52,-3.4499999999999957,2011-03-11 15:08:25
102,10902,-57.98,-54.53,-3.4499999999999957,2011-03-11 15:08:30
103,10903,-57.98,-54.54,-3.4399999999999977,2011-03-11 15:08:35
104,10904,-58.0,-54.55,-3.450000000000003,2011-03-11 15:08:40
105,10905,-58.0,-54.56,-3.4399999999999977,2011-03-11 15:08:45
106,10906,-57.99,-54.57,-3.4200000000000017,2011-03-11 15:08:50
107,10907,-57.96,-54.58,-3.3800000000000026,2011-03-11 15:08:55
108,10908,-57.95,-54.58,-3.3700000000000045,2011-03-11 15:09:00
109,10909,-57.94,-54.59,-3.3499999999999943,2011-03-11 15:09:05
110,10910,-57.93,-54.6,-3.3299999999999983,2011-03-11 15:09:10
111,10911,-57.94,-54.61,-3.3299999999999983,2011-03-11 15:09:15
112,10912,-57.94,-54.62,-3.3200000000000003,2011-03-11 15:09:20
113,10913,-57.95,-54.63,-3.3200000000000003,2011-03-11 15:09:25
114,10914,-57.95,-54.64,-3.3100000000000023,2011-03-11 15:09:30
115,10915,-57.94,-54.65,-3.289999999999999,2011-03-11 15:09:35
116,10916,-57.94,-54.66,-3.280000000000001,2011-03-11 15:09:40
117,10917,-57.95,-54.67,-3.280000000000001,2011-03-11 15:09:45
118,10918,-57.96,-54.68,-3.280000000000001,2011-03-11 15:09:50
119,10919,-57.98,-54.69,-3.289999999999999,2011-03-11 15:09:55
120,10920,-58.01,-54.69,-3.3200000000000003,2011-03-11 15:10:00
121,10921,-58.04,-54.7,-3.3399999999999963,2011-03-11 15:10:05
122,10922,-58.08,-54.71,-3.3699999999999974,2011-03-11 15:10:10
123,10923,-58.11,-54.72,-3.3900000000000006,2011-03-11 15:10:15
124,10924,-58.17,-54.73,-3.440000000000005,2011-03-11 15:10:20
125,10925,-58.23,-54.74,-3.489999999999995,2011-03-11 15:10:25
126,10926,-58.29,-54.75,-3.539999999999999,2011-03-11 15:10:30
127,10927,-58.34,-54.76,-3.5800000000000054,2011-03-11 15:10:35
128,10928,-58.37,-54.77,-3.5999999999999943,2011-03-11 15:10:40
129,10929,-58.37,-54.78,-3.5899999999999963,2011-03-11 15:10:45
130,10930,-58.37,-54.78,-3.5899999999999963,2011-03-11 15:10:50
131,10931,-58.36,-54.79,-3.5700000000000003,2011-03-11 15:10:55
132,10932,-58.34,-54.8,-3.5400000000000063,2011-03-11 15:11:00
133,10933,-58.29,-54.81,-3.479999999999997,2011-03-11 15:11:05
134,10934,-58.22,-54.82,-3.3999999999999986,2011-03-11 15:11:10
