,index,observed,astoro,deviation,datetime
0,10800,-106.6,-102.2,-4.3999999999999915,2011-03-11 15:00:00
1,10801,-106.5,-102.1,-4.400000000000006,2011-03-11 15:00:05
2,10802,-106.5,-102.1,-4.400000000000006,2011-03-11 15:00:10
3,10803,-106.5,-102.1,-4.400000000000006,2011-03-11 15:00:15
4,10804,-106.6,-102.2,-4.3999999999999915,2011-03-11 15:00:20
5,10805,-106.5,-102.2,-4.299999999999997,2011-03-11 15:00:25
6,10806,-106.4,-102.2,-4.200000000000003,2011-03-11 15:00:30
7,10807,-106.3,-102.3,-4.0,2011-03-11 15:00:35
8,10808,-106.2,-102.2,-4.0,2011-03-11 15:00:40
9,10809,-106.0,-102.2,-3.799999999999997,2011-03-11 15:00:45
10,10810,-106.0,-102.3,-3.700000000000003,2011-03-11 15:00:50
11,10811,-106.0,-102.3,-3.700000000000003,2011-03-11 15:00:55
12,10812,-105.9,-102.2,-3.700000000000003,2011-03-11 15:01:00
13,10813,-105.9,-102.2,-3.700000000000003,2011-03-11 15:01:05
14,10814,-105.8,-102.2,-3.5999999999999943,2011-03-11 15:01:10
15,10815,-105.7,-102.3,-3.4000000000000057,2011-03-11 15:01:15
16,10816,-105.6,-102.3,-3.299999999999997,2011-03-11 15:01:20
17,10817,-105.4,-102.3,-3.1000000000000085,2011-03-11 15:01:25
18,10818,-105.3,-102.2,-3.0999999999999943,2011-03-11 15:01:30
19,10819,-105.2,-102.3,-2.9000000000000057,2011-03-11 15:01:35
20,10820,-105.2,-102.3,-2.9000000000000057,2011-03-11 15:01:40
21,10821,-105.1,-102.3,-2.799999999999997,2011-03-11 15:01:45
22,10822,-105.1,-102.3,-2.799999999999997,2011-03-11 15:01:50
23,10823,-105.1,-102.3,-2.799999999999997,2011-03-11 15:01:55
24,10824,-105.0,-102.3,-2.700000000000003,2011-03-11 15:02:00
25,10825,-105.1,-102.4,-2.6999999999999886,2011-03-11 15:02:05
26,10826,-105.2,-102.4,-2.799999999999997,2011-03-11 15:02:10
27,10827,-105.3,-102.4,-2.8999999999999915,2011-03-11 15:02:15
28,10828,-105.3,-102.3,-3.0,2011-03-11 15:02:20
29,10829,-105.4,-102.3,-3.1000000000000085,2011-03-11 15:02:25
30,10830,-105.5,-102.3,-3.200000000000003,2011-03-11 15:02:30
31,10831,-105.7,-102.4,-3.299999999999997,2011-03-11 15:02:35
32,10832,-105.8,-102.4,-3.3999999999999915,2011-03-11 15:02:40
33,10833,-105.8,-102.3,-3.5,2011-03-11 15:02:45
34,10834,-105.8,-102.4,-3.3999999999999915,2011-03-11 15:02:50
35,10835,-105.8,-102.4,-3.3999999999999915,2011-03-11 15:02:55
36,10836,-105.7,-102.4,-3.299999999999997,2011-03-11 15:03:00
37,10837,-105.7,-102.4,-3.299999999999997,2011-03-11 15:03:05
38,10838,-105.7,-102.4,-3.299999999999997,2011-03-11 15:03:10
39,10839,-105.7,-102.4,-3.299999999999997,2011-03-11 15:03:15
40,10840,-105.7,-102.4,-3.299999999999997,2011-03-11 15:03:20
41,10841,-105.8,-102.5,-3.299999999999997,2011-03-11 15:03:25
42,10842,-105.8,-102.5,-3.299999999999997,2011-03-11 15:03:30
43,10843,-105.9,-102.5,-3.4000000000000057,2011-03-11 15:03:35
44,10844,-105.9,-102.4,-3.5,2011-03-11 15:03:40
45,10845,-105.9,-102.4,-3.5,2011-03-11 15:03:45
46,10846,-105.8,-102.4,-3.3999999999999915,2011-03-11 15:03:50
47,10847,-105.9,-102.4,-3.5,2011-03-11 15:03:55
48,10848,-106.0,-102.4,-3.5999999999999943,2011-03-11 15:04:00
49,10849,-106.1,-102.5,-3.5999999999999943,2011-03-11 15:04:05
50,10850,-106.1,-102.4,-3.6999999999999886,2011-03-11 15:04:10
51,10851,-106.2,-102.5,-3.700000000000003,2011-03-11 15:04:15
52,10852,-106.3,-102.5,-3.799999999999997,2011-03-11 15:04:20
53,10853,-106.4,-102.5,-3.9000000000000057,2011-03-11 15:04:25
54,10854,-106.5,-102.5,-4.0,2011-03-11 15:04:30
55,10855,-106.6,-102.5,-4.099999999999994,2011-03-11 15:04:35
56,10856,-106.7,-102.5,-4.200000000000003,2011-03-11 15:04:40
57,10857,-106.8,-102.5,-4.299999999999997,2011-03-11 15:04:45
58,10858,-106.9,-102.5,-4.400000000000006,2011-03-11 15:04:50
59,10859,-106.9,-102.5,-4.400000000000006,2011-03-11 15:04:55
60,10860,-106.9,-102.5,-4.400000000000006,2011-03-11 15:05:00
61,10861,-106.9,-102.5,-4.400000000000006,2011-03-11 15:05:05
62,10862,-106.9,-102.5,-4.400000000000006,2011-03-11 15:05:10
63,10863,-106.8,-102.5,-4.299999999999997,2011-03-11 15:05:15
64,10864,-106.7,-102.5,-4.200000000000003,2011-03-11 15:05:20
65,10865,-106.8,-102.6,-4.200000000000003,2011-03-11 15:05:25
66,10866,-106.8,-102.6,-4.200000000000003,2011-03-11 15:05:30
67,10867,-106.7,-102.5,-4.200000000000003,2011-03-11 15:05:35
68,10868,-106.8,-102.6,-4.200000000000003,2011-03-11 15:05:40
69,10869,-106.8,-102.6,-4.200000000000003,2011-03-11 15:05:45
70,10870,-106.8,-102.6,-4.200000000000003,2011-03-11 15:05:50
71,10871,-106.7,-102.6,-4.1000000000000085,2011-03-11 15:05:55
72,10872,-106.7,-102.6,-4.1000000000000085,2011-03-11 15:06:00
73,10873,-106.8,-102.7,-4.099999999999994,2011-03-11 15:06:05
74,10874,-106.8,-102.6,-4.200000000000003,2011-03-11 15:06:10
75,10875,-106.8,-102.6,-4.200000000000003,2011-03-11 15:06:15
76,10876,-106.8,-102.6,-4.200000000000003,2011-03-11 15:06:20
77,10877,-106.8,-102.6,-4.200000000000003,2011-03-11 15:06:25
78,10878,-106.8,-102.6,-4.200000000000003,2011-03-11 15:06:30
79,10879,-106.8,-102.7,-4.099999999999994,2011-03-11 15:06:35
80,10880,-106.7,-102.6,-4.1000000000000085,2011-03-11 15:06:40
81,10881,-106.7,-102.7,-4.0,2011-03-11 15:06:45
82,10882,-106.6,-102.7,-3.8999999999999915,2011-03-11 15:06:50
83,10883,-106.5,-102.7,-3.799999999999997,2011-03-11 15:06:55
84,10884,-106.4,-102.7,-3.700000000000003,2011-03-11 15:07:00
85,10885,-106.4,-102.7,-3.700000000000003,2011-03-11 15:07:05
86,10886,-106.3,-102.7,-3.5999999999999943,2011-03-11 15:07:10
87,10887,-106.1,-102.7,-3.3999999999999915,2011-03-11 15:07:15
88,10888,-106.0,-102.7,-3.299999999999997,2011-03-11 15:07:20
89,10889,-105.9,-102.7,-3.200000000000003,2011-03-11 15:07:25
90,10890,-105.9,-102.7,-3.200000000000003,2011-03-11 15:07:30
91,10891,-105.8,-102.7,-3.0999999999999943,2011-03-11 15:07:35
92,10892,-105.8,-102.7,-3.0999999999999943,2011-03-11 15:07:40
93,10893,-105.8,-102.7,-3.0999999999999943,2011-03-11 15:07:45
94,10894,-105.9,-102.8,-3.1000000000000085,2011-03-11 15:07:50
95,10895,-105.8,-102.7,-3.0999999999999943,2011-03-11 15:07:55
96,10896,-105.8,-102.7,-3.0999999999999943,2011-03-11 15:08:00
97,10897,-105.9,-102.7,-3.200000000000003,2011-03-11 15:08:05
98,10898,-106.1,-102.8,-3.299999999999997,2011-03-11 15:08:10
99,10899,-106.2,-102.7,-3.5,2011-03-11 15:08:15
100,10900,-106.4,-102.8,-3.6000000000000085,2011-03-11 15:08:20
101,10901,-106.6,-102.8,-3.799999999999997,2011-03-11 15:08:25
102,10902,-106.8,-102.8,-4.0,2011-03-11 15:08:30
103,10903,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:08:35
104,10904,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:08:40
105,10905,-107.0,-102.8,-4.200000000000003,2011-03-11 15:08:45
106,10906,-107.0,-102.8,-4.200000000000003,2011-03-11 15:08:50
107,10907,-107.0,-102.8,-4.200000000000003,2011-03-11 15:08:55
108,10908,-107.0,-102.8,-4.200000000000003,2011-03-11 15:09:00
109,10909,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:09:05
110,10910,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:09:10
111,10911,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:09:15
112,10912,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:09:20
113,10913,-106.9,-102.8,-4.1000000000000085,2011-03-11 15:09:25
114,10914,-106.9,-102.9,-4.0,2011-03-11 15:09:30
115,10915,-106.8,-102.8,-4.0,2011-03-11 15:09:35
116,10916,-106.8,-102.8,-4.0,2011-03-11 15:09:40
117,10917,-107.0,-102.9,-4.099999999999994,2011-03-11 15:09:45
118,10918,-107.1,-102.9,-4.199999999999989,2011-03-11 15:09:50
119,10919,-107.2,-102.8,-4.400000000000006,2011-03-11 15:09:55
120,10920,-107.2,-102.8,-4.400000000000006,2011-03-11 15:10:00
121,10921,-107.2,-102.8,-4.400000000000006,2011-03-11 15:10:05
122,10922,-107.4,-102.9,-4.5,2011-03-11 15:10:10
123,10923,-107.4,-102.9,-4.5,2011-03-11 15:10:15
124,10924,-107.3,-102.9,-4.3999999999999915,2011-03-11 15:10:20
125,10925,-107.3,-102.9,-4.3999999999999915,2011-03-11 15:10:25
126,10926,-107.2,-102.9,-4.299999999999997,2011-03-11 15:10:30
127,10927,-107.2,-102.9,-4.299999999999997,2011-03-11 15:10:35
128,10928,-107.1,-102.9,-4.199999999999989,2011-03-11 15:10:40
129,10929,-107.2,-102.9,-4.299999999999997,2011-03-11 15:10:45
130,10930,-107.1,-102.9,-4.199999999999989,2011-03-11 15:10:50
131,10931,-107.1,-102.9,-4.199999999999989,2011-03-11 15:10:55
132,10932,-107.0,-102.9,-4.099999999999994,2011-03-11 15:11:00
133,10933,-106.9,-102.9,-4.0,2011-03-11 15:11:05
134,10934,-107.0,-102.9,-4.099999999999994,2011-03-11 15:11:10
135,10935,-107.2,-103.0,-4.200000000000003,2011-03-11 15:11:15
136,10936,-107.1,-102.9,-4.199999999999989,2011-03-11 15:11:20
137,10937,-107.1,-102.9,-4.199999999999989,2011-03-11 15:11:25
138,10938,-107.2,-102.9,-4.299999999999997,2011-03-11 15:11:30
139,10939,-107.3,-103.0,-4.299999999999997,2011-03-11 15:11:35
140,10940,-107.3,-103.0,-4.299999999999997,2011-03-11 15:11:40
141,10941,-107.3,-103.0,-4.299999999999997,2011-03-11 15:11:45
142,10942,-107.4,-103.0,-4.400000000000006,2011-03-11 15:11:50
143,10943,-107.4,-102.9,-4.5,2011-03-11 15:11:55
144,10944,-107.5,-103.0,-4.5,2011-03-11 15:12:00
145,10945,-107.5,-102.9,-4.599999999999994,2011-03-11 15:12:05
146,10946,-107.6,-103.0,-4.599999999999994,2011-03-11 15:12:10
147,10947,-107.6,-103.0,-4.599999999999994,2011-03-11 15:12:15
148,10948,-107.5,-103.0,-4.5,2011-03-11 15:12:20
149,10949,-107.5,-103.0,-4.5,2011-03-11 15:12:25
150,10950,-107.5,-103.0,-4.5,2011-03-11 15:12:30
151,10951,-107.6,-103.0,-4.599999999999994,2011-03-11 15:12:35
152,10952,-107.5,-103.0,-4.5,2011-03-11 15:12:40
153,10953,-107.2,-103.0,-4.200000000000003,2011-03-11 15:12:45
154,10954,-107.0,-103.0,-4.0,2011-03-11 15:12:50
155,10955,-107.0,-103.0,-4.0,2011-03-11 15:12:55
156,10956,-107.0,-103.0,-4.0,2011-03-11 15:13:00
157,10957,-106.8,-103.0,-3.799999999999997,2011-03-11 15:13:05
158,10958,-106.6,-103.0,-3.5999999999999943,2011-03-11 15:13:10
