,index,observed,astoro,deviation,datetime
0,27720,-45.89,-49.86,3.969999999999999,2011-03-11 14:30:00
1,27721,-45.81,-49.85,4.039999999999999,2011-03-11 14:30:05
2,27722,-45.24,-49.84,4.600000000000001,2011-03-11 14:30:10
3,27723,-45.19,-49.82,4.630000000000003,2011-03-11 14:30:15
4,27724,-45.68,-49.81,4.130000000000003,2011-03-11 14:30:20
5,27725,-46.08,-49.79,3.710000000000001,2011-03-11 14:30:25
6,27726,-46.36,-49.78,3.4200000000000017,2011-03-11 14:30:30
7,27727,-46.25,-49.77,3.520000000000003,2011-03-11 14:30:35
8,27728,-45.29,-49.75,4.460000000000001,2011-03-11 14:30:40
9,27729,-44.19,-49.74,5.550000000000004,2011-03-11 14:30:45
10,27730,-44.16,-49.73,5.57,2011-03-11 14:30:50
11,27731,-45.09,-49.71,4.619999999999997,2011-03-11 14:30:55
12,27732,-45.96,-49.7,3.740000000000002,2011-03-11 14:31:00
13,27733,-46.18,-49.68,3.5,2011-03-11 14:31:05
14,27734,-45.9,-49.67,3.770000000000003,2011-03-11 14:31:10
15,27735,-45.7,-49.66,3.9599999999999937,2011-03-11 14:31:15
16,27736,-46.05,-49.64,3.5900000000000034,2011-03-11 14:31:20
17,27737,-46.26,-49.63,3.3700000000000045,2011-03-11 14:31:25
18,27738,-45.57,-49.62,4.049999999999997,2011-03-11 14:31:30
19,27739,-44.98,-49.6,4.6200000000000045,2011-03-11 14:31:35
20,27740,-45.69,-49.59,3.9000000000000057,2011-03-11 14:31:40
21,27741,-46.82,-49.57,2.75,2011-03-11 14:31:45
22,27742,-46.73,-49.56,2.8300000000000054,2011-03-11 14:31:50
23,27743,-45.64,-49.55,3.9099999999999966,2011-03-11 14:31:55
24,27744,-45.2,-49.53,4.329999999999998,2011-03-11 14:32:00
25,27745,-45.77,-49.52,3.75,2011-03-11 14:32:05
26,27746,-46.18,-49.5,3.3200000000000003,2011-03-11 14:32:10
27,27747,-45.68,-49.49,3.8100000000000023,2011-03-11 14:32:15
28,27748,-45.07,-49.48,4.409999999999997,2011-03-11 14:32:20
29,27749,-45.0,-49.46,4.460000000000001,2011-03-11 14:32:25
30,27750,-44.98,-49.45,4.470000000000006,2011-03-11 14:32:30
31,27751,-44.72,-49.43,4.710000000000001,2011-03-11 14:32:35
