,index,observed,astoro,deviation,datetime
0,10800,-81.2,-82.04,0.8400000000000034,2011-03-11 15:00:00
1,10801,-81.22,-82.04,0.8200000000000074,2011-03-11 15:00:05
2,10802,-81.25,-82.05,0.7999999999999972,2011-03-11 15:00:10
3,10803,-81.3,-82.05,0.75,2011-03-11 15:00:15
4,10804,-81.35,-82.06,0.710000000000008,2011-03-11 15:00:20
5,10805,-81.39,-82.06,0.6700000000000017,2011-03-11 15:00:25
6,10806,-81.4,-82.06,0.6599999999999966,2011-03-11 15:00:30
7,10807,-81.39,-82.07,0.6799999999999926,2011-03-11 15:00:35
8,10808,-81.37,-82.07,0.6999999999999886,2011-03-11 15:00:40
9,10809,-81.33,-82.07,0.7399999999999949,2011-03-11 15:00:45
10,10810,-81.27,-82.08,0.8100000000000023,2011-03-11 15:00:50
11,10811,-81.21,-82.08,0.8700000000000045,2011-03-11 15:00:55
12,10812,-81.13,-82.09,0.960000000000008,2011-03-11 15:01:00
13,10813,-81.05,-82.09,1.0400000000000063,2011-03-11 15:01:05
14,10814,-80.96,-82.09,1.1300000000000097,2011-03-11 15:01:10
15,10815,-80.88,-82.1,1.2199999999999989,2011-03-11 15:01:15
16,10816,-80.81,-82.1,1.289999999999992,2011-03-11 15:01:20
17,10817,-80.76,-82.1,1.3399999999999892,2011-03-11 15:01:25
18,10818,-80.72,-82.11,1.3900000000000006,2011-03-11 15:01:30
19,10819,-80.7,-82.11,1.4099999999999966,2011-03-11 15:01:35
20,10820,-80.68,-82.11,1.4299999999999926,2011-03-11 15:01:40
21,10821,-80.68,-82.12,1.4399999999999977,2011-03-11 15:01:45
22,10822,-80.69,-82.12,1.4300000000000068,2011-03-11 15:01:50
23,10823,-80.7,-82.12,1.4200000000000017,2011-03-11 15:01:55
24,10824,-80.71,-82.13,1.4200000000000017,2011-03-11 15:02:00
25,10825,-80.73,-82.13,1.3999999999999915,2011-03-11 15:02:05
26,10826,-80.76,-82.13,1.3699999999999903,2011-03-11 15:02:10
27,10827,-80.79,-82.14,1.3499999999999943,2011-03-11 15:02:15
28,10828,-80.79,-82.14,1.3499999999999943,2011-03-11 15:02:20
29,10829,-80.8,-82.14,1.3400000000000034,2011-03-11 15:02:25
30,10830,-80.81,-82.15,1.3400000000000034,2011-03-11 15:02:30
31,10831,-80.83,-82.15,1.3200000000000074,2011-03-11 15:02:35
