,index,observed,astoro,deviation,datetime
0,27720,4689.2,4688.88,0.31999999999970896,2011-03-11 14:30:00
1,27721,4689.2,4688.89,0.3099999999994907,2011-03-11 14:30:05
2,27722,4689.4,4688.91,0.4899999999997817,2011-03-11 14:30:10
3,27723,4689.4,4688.92,0.47999999999956344,2011-03-11 14:30:15
4,27724,4689.7,4688.94,0.7600000000002183,2011-03-11 14:30:20
5,27725,4689.8,4688.95,0.8500000000003638,2011-03-11 14:30:25
6,27726,4689.9,4688.96,0.9399999999995998,2011-03-11 14:30:30
7,27727,4690.1,4688.98,1.1200000000008004,2011-03-11 14:30:35
8,27728,4690.1,4688.99,1.110000000000582,2011-03-11 14:30:40
9,27729,4690.4,4689.01,1.389999999999418,2011-03-11 14:30:45
10,27730,4690.4,4689.02,1.3799999999991996,2011-03-11 14:30:50
11,27731,4690.6,4689.03,1.5700000000006185,2011-03-11 14:30:55
12,27732,4690.7,4689.05,1.6499999999996362,2011-03-11 14:31:00
13,27733,4690.8,4689.06,1.7399999999997817,2011-03-11 14:31:05
14,27734,4690.9,4689.08,1.819999999999709,2011-03-11 14:31:10
15,27735,4691.0,4689.09,1.9099999999998545,2011-03-11 14:31:15
16,27736,4691.0,4689.11,1.8900000000003274,2011-03-11 14:31:20
17,27737,4691.1,4689.12,1.980000000000473,2011-03-11 14:31:25
18,27738,4691.2,4689.13,2.069999999999709,2011-03-11 14:31:30
19,27739,4691.1,4689.15,1.9500000000007276,2011-03-11 14:31:35
20,27740,4691.2,4689.16,2.0399999999999636,2011-03-11 14:31:40
21,27741,4691.3,4689.18,2.119999999999891,2011-03-11 14:31:45
22,27742,4691.2,4689.19,2.0100000000002183,2011-03-11 14:31:50
23,27743,4691.3,4689.21,2.0900000000001455,2011-03-11 14:31:55
24,27744,4691.2,4689.22,1.9799999999995634,2011-03-11 14:32:00
25,27745,4691.2,4689.23,1.9700000000002547,2011-03-11 14:32:05
26,27746,4691.1,4689.25,1.8500000000003638,2011-03-11 14:32:10
27,27747,4691.2,4689.26,1.9399999999995998,2011-03-11 14:32:15
28,27748,4691.0,4689.28,1.7200000000002547,2011-03-11 14:32:20
29,27749,4691.0,4689.29,1.7100000000000364,2011-03-11 14:32:25
30,27750,4691.0,4689.31,1.6899999999995998,2011-03-11 14:32:30
31,27751,4690.8,4689.32,1.480000000000473,2011-03-11 14:32:35
32,27752,4690.8,4689.34,1.4600000000000364,2011-03-11 14:32:40
33,27753,4690.7,4689.35,1.3499999999994543,2011-03-11 14:32:45
34,27754,4690.7,4689.36,1.3400000000001455,2011-03-11 14:32:50
35,27755,4690.7,4689.38,1.319999999999709,2011-03-11 14:32:55
36,27756,4690.6,4689.39,1.2100000000000364,2011-03-11 14:33:00
37,27757,4690.7,4689.41,1.2899999999999636,2011-03-11 14:33:05
38,27758,4690.7,4689.42,1.2799999999997453,2011-03-11 14:33:10
39,27759,4690.6,4689.44,1.160000000000764,2011-03-11 14:33:15
40,27760,4690.8,4689.45,1.3500000000003638,2011-03-11 14:33:20
41,27761,4690.7,4689.47,1.2299999999995634,2011-03-11 14:33:25
42,27762,4690.8,4689.48,1.3200000000006185,2011-03-11 14:33:30
