,index,observed,astoro,deviation,datetime
0,27720,-43.93,-49.81,5.88,2011-03-11 14:30:00
1,27721,-44.14,-49.79,5.65,2011-03-11 14:30:05
2,27722,-44.67,-49.77,5.1,2011-03-11 14:30:10
3,27723,-44.93,-49.76,4.83,2011-03-11 14:30:15
4,27724,-43.66,-49.74,6.08,2011-03-11 14:30:20
5,27725,-41.55,-49.73,8.18,2011-03-11 14:30:25
6,27726,-40.43,-49.71,9.28,2011-03-11 14:30:30
7,27727,-40.86,-49.69,8.83,2011-03-11 14:30:35
8,27728,-41.68,-49.68,8.0,2011-03-11 14:30:40
9,27729,-42.05,-49.66,7.61,2011-03-11 14:30:45
10,27730,-42.13,-49.65,7.52,2011-03-11 14:30:50
11,27731,-42.11,-49.63,7.52,2011-03-11 14:30:55
12,27732,-41.95,-49.61,7.66,2011-03-11 14:31:00
13,27733,-41.83,-49.6,7.77,2011-03-11 14:31:05
14,27734,-42.39,-49.58,7.19,2011-03-11 14:31:10
15,27735,-43.54,-49.57,6.03,2011-03-11 14:31:15
16,27736,-44.18,-49.55,5.37,2011-03-11 14:31:20
17,27737,-43.97,-49.53,5.56,2011-03-11 14:31:25
18,27738,-43.52,-49.52,6.0,2011-03-11 14:31:30
19,27739,-42.77,-49.5,6.73,2011-03-11 14:31:35
20,27740,-41.49,-49.49,8.0,2011-03-11 14:31:40
21,27741,-40.83,-49.47,8.64,2011-03-11 14:31:45
22,27742,-41.61,-49.45,7.84,2011-03-11 14:31:50
23,27743,-42.41,-49.44,7.03,2011-03-11 14:31:55
24,27744,-41.68,-49.42,7.74,2011-03-11 14:32:00
25,27745,-40.54,-49.41,8.87,2011-03-11 14:32:05
26,27746,-41.0,-49.39,8.39,2011-03-11 14:32:10
27,27747,-42.55,-49.37,6.82,2011-03-11 14:32:15
28,27748,-43.07,-49.36,6.29,2011-03-11 14:32:20
29,27749,-41.99,-49.34,7.35,2011-03-11 14:32:25
30,27750,-40.75,-49.33,8.58,2011-03-11 14:32:30
31,27751,-40.67,-49.31,8.64,2011-03-11 14:32:35
32,27752,-41.56,-49.29,7.73,2011-03-11 14:32:40
33,27753,-42.29,-49.28,6.99,2011-03-11 14:32:45
34,27754,-42.41,-49.26,6.85,2011-03-11 14:32:50
35,27755,-42.75,-49.24,6.49,2011-03-11 14:32:55
36,27756,-43.91,-49.23,5.32,2011-03-11 14:33:00
37,27757,-43.79,-49.21,5.42,2011-03-11 14:33:05
38,27758,-39.94,-49.2,9.26,2011-03-11 14:33:10
39,27759,-37.79,-49.18,11.39,2011-03-11 14:33:15
40,27760,-35.65,-49.16,13.51,2011-03-11 14:33:20
41,27761,-39.52,-49.15,9.63,2011-03-11 14:33:25
42,27762,-43.39,-49.13,5.74,2011-03-11 14:33:30
43,27763,-44.27,-49.11,4.84,2011-03-11 14:33:35
44,27764,-44.55,-49.1,4.55,2011-03-11 14:33:40
45,27765,-43.78,-49.08,5.3,2011-03-11 14:33:45
46,27766,-41.68,-49.06,7.38,2011-03-11 14:33:50
47,27767,-40.6,-49.05,8.45,2011-03-11 14:33:55
48,27768,-41.23,-49.03,7.8,2011-03-11 14:34:00
49,27769,-41.54,-49.02,7.48,2011-03-11 14:34:05
50,27770,-41.16,-49.0,7.84,2011-03-11 14:34:10
51,27771,-41.08,-48.98,7.9,2011-03-11 14:34:15
52,27772,-40.74,-48.97,8.23,2011-03-11 14:34:20
53,27773,-39.8,-48.95,9.15,2011-03-11 14:34:25
54,27774,-39.86,-48.93,9.07,2011-03-11 14:34:30
55,27775,-41.32,-48.92,7.6,2011-03-11 14:34:35
56,27776,-42.08,-48.9,6.82,2011-03-11 14:34:40
57,27777,-40.95,-48.88,7.93,2011-03-11 14:34:45
58,27778,-39.11,-48.87,9.76,2011-03-11 14:34:50
