,index,observed,astoro,deviation,datetime
0,27720,-41.52,-41.66,0.14,2011-03-11 14:30:00
1,27721,-41.3,-41.65,0.35,2011-03-11 14:30:05
2,27722,-41.09,-41.63,0.54,2011-03-11 14:30:10
3,27723,-40.88,-41.62,0.74,2011-03-11 14:30:15
4,27724,-40.68,-41.6,0.92,2011-03-11 14:30:20
5,27725,-40.48,-41.59,1.11,2011-03-11 14:30:25
6,27726,-40.29,-41.57,1.28,2011-03-11 14:30:30
7,27727,-40.12,-41.55,1.43,2011-03-11 14:30:35
8,27728,-39.96,-41.54,1.58,2011-03-11 14:30:40
9,27729,-39.81,-41.52,1.71,2011-03-11 14:30:45
10,27730,-39.66,-41.51,1.85,2011-03-11 14:30:50
11,27731,-39.52,-41.49,1.97,2011-03-11 14:30:55
12,27732,-39.39,-41.48,2.09,2011-03-11 14:31:00
13,27733,-39.26,-41.46,2.2,2011-03-11 14:31:05
14,27734,-39.13,-41.44,2.31,2011-03-11 14:31:10
15,27735,-39.0,-41.43,2.43,2011-03-11 14:31:15
16,27736,-38.87,-41.41,2.54,2011-03-11 14:31:20
17,27737,-38.74,-41.4,2.66,2011-03-11 14:31:25
18,27738,-38.62,-41.38,2.76,2011-03-11 14:31:30
19,27739,-38.5,-41.36,2.86,2011-03-11 14:31:35
20,27740,-38.39,-41.35,2.96,2011-03-11 14:31:40
21,27741,-38.29,-41.33,3.04,2011-03-11 14:31:45
22,27742,-38.2,-41.32,3.12,2011-03-11 14:31:50
23,27743,-38.11,-41.3,3.19,2011-03-11 14:31:55
24,27744,-38.03,-41.29,3.26,2011-03-11 14:32:00
25,27745,-37.96,-41.27,3.31,2011-03-11 14:32:05
26,27746,-37.89,-41.25,3.36,2011-03-11 14:32:10
27,27747,-37.83,-41.24,3.41,2011-03-11 14:32:15
28,27748,-37.76,-41.22,3.46,2011-03-11 14:32:20
29,27749,-37.7,-41.21,3.51,2011-03-11 14:32:25
30,27750,-37.64,-41.19,3.55,2011-03-11 14:32:30
31,27751,-37.58,-41.17,3.59,2011-03-11 14:32:35
32,27752,-37.52,-41.16,3.64,2011-03-11 14:32:40
33,27753,-37.46,-41.14,3.68,2011-03-11 14:32:45
34,27754,-37.41,-41.13,3.72,2011-03-11 14:32:50
35,27755,-37.36,-41.11,3.75,2011-03-11 14:32:55
36,27756,-37.32,-41.09,3.77,2011-03-11 14:33:00
37,27757,-37.28,-41.08,3.8,2011-03-11 14:33:05
38,27758,-37.25,-41.06,3.81,2011-03-11 14:33:10
39,27759,-37.23,-41.05,3.82,2011-03-11 14:33:15
40,27760,-37.22,-41.03,3.81,2011-03-11 14:33:20
41,27761,-37.21,-41.01,3.8,2011-03-11 14:33:25
42,27762,-37.21,-41.0,3.79,2011-03-11 14:33:30
43,27763,-37.21,-40.98,3.77,2011-03-11 14:33:35
44,27764,-37.21,-40.97,3.76,2011-03-11 14:33:40
45,27765,-37.22,-40.95,3.73,2011-03-11 14:33:45
46,27766,-37.24,-40.93,3.69,2011-03-11 14:33:50
47,27767,-37.25,-40.92,3.67,2011-03-11 14:33:55
48,27768,-37.27,-40.9,3.63,2011-03-11 14:34:00
49,27769,-37.29,-40.88,3.59,2011-03-11 14:34:05
50,27770,-37.31,-40.87,3.56,2011-03-11 14:34:10
51,27771,-37.32,-40.85,3.53,2011-03-11 14:34:15
52,27772,-37.34,-40.84,3.5,2011-03-11 14:34:20
53,27773,-37.35,-40.82,3.47,2011-03-11 14:34:25
54,27774,-37.36,-40.8,3.44,2011-03-11 14:34:30
55,27775,-37.37,-40.79,3.42,2011-03-11 14:34:35
56,27776,-37.39,-40.77,3.38,2011-03-11 14:34:40
57,27777,-37.41,-40.75,3.34,2011-03-11 14:34:45
58,27778,-37.44,-40.74,3.3,2011-03-11 14:34:50
59,27779,-37.47,-40.72,3.25,2011-03-11 14:34:55
60,27780,-37.52,-40.71,3.19,2011-03-11 14:35:00
61,27781,-37.58,-40.69,3.11,2011-03-11 14:35:05
62,27782,-37.66,-40.67,3.01,2011-03-11 14:35:10
63,27783,-37.75,-40.66,2.91,2011-03-11 14:35:15
64,27784,-37.85,-40.64,2.79,2011-03-11 14:35:20
65,27785,-37.97,-40.62,2.65,2011-03-11 14:35:25
66,27786,-38.1,-40.61,2.51,2011-03-11 14:35:30
67,27787,-38.23,-40.59,2.36,2011-03-11 14:35:35
68,27788,-38.36,-40.58,2.22,2011-03-11 14:35:40
69,27789,-38.5,-40.56,2.06,2011-03-11 14:35:45
70,27790,-38.63,-40.54,1.91,2011-03-11 14:35:50
71,27791,-38.76,-40.53,1.77,2011-03-11 14:35:55
72,27792,-38.89,-40.51,1.62,2011-03-11 14:36:00
73,27793,-39.0,-40.49,1.49,2011-03-11 14:36:05
74,27794,-39.1,-40.48,1.38,2011-03-11 14:36:10
75,27795,-39.19,-40.46,1.27,2011-03-11 14:36:15
76,27796,-39.28,-40.44,1.16,2011-03-11 14:36:20
77,27797,-39.36,-40.43,1.07,2011-03-11 14:36:25
78,27798,-39.44,-40.41,0.97,2011-03-11 14:36:30
79,27799,-39.51,-40.39,0.88,2011-03-11 14:36:35
80,27800,-39.58,-40.38,0.8,2011-03-11 14:36:40
81,27801,-39.65,-40.36,0.71,2011-03-11 14:36:45
82,27802,-39.72,-40.34,0.62,2011-03-11 14:36:50
83,27803,-39.79,-40.33,0.54,2011-03-11 14:36:55
84,27804,-39.87,-40.31,0.44,2011-03-11 14:37:00
85,27805,-39.95,-40.29,0.34,2011-03-11 14:37:05
86,27806,-40.03,-40.28,0.25,2011-03-11 14:37:10
87,27807,-40.12,-40.26,0.14,2011-03-11 14:37:15
88,27808,-40.21,-40.24,0.03,2011-03-11 14:37:20
89,27809,-40.3,-40.23,-0.07,2011-03-11 14:37:25
90,27810,-40.39,-40.21,-0.18,2011-03-11 14:37:30
91,27811,-40.49,-40.19,-0.3,2011-03-11 14:37:35
92,27812,-40.58,-40.18,-0.4,2011-03-11 14:37:40
93,27813,-40.68,-40.16,-0.52,2011-03-11 14:37:45
94,27814,-40.77,-40.14,-0.63,2011-03-11 14:37:50
95,27815,-40.86,-40.13,-0.73,2011-03-11 14:37:55
96,27816,-40.95,-40.11,-0.84,2011-03-11 14:38:00
97,27817,-41.03,-40.09,-0.94,2011-03-11 14:38:05
98,27818,-41.12,-40.08,-1.04,2011-03-11 14:38:10
99,27819,-41.2,-40.06,-1.14,2011-03-11 14:38:15
100,27820,-41.29,-40.04,-1.25,2011-03-11 14:38:20
101,27821,-41.37,-40.03,-1.34,2011-03-11 14:38:25
102,27822,-41.45,-40.01,-1.44,2011-03-11 14:38:30
103,27823,-41.53,-39.99,-1.54,2011-03-11 14:38:35
104,27824,-41.62,-39.98,-1.64,2011-03-11 14:38:40
105,27825,-41.7,-39.96,-1.74,2011-03-11 14:38:45
106,27826,-41.79,-39.94,-1.85,2011-03-11 14:38:50
107,27827,-41.87,-39.93,-1.94,2011-03-11 14:38:55
108,27828,-41.95,-39.91,-2.04,2011-03-11 14:39:00
109,27829,-42.03,-39.89,-2.14,2011-03-11 14:39:05
110,27830,-42.1,-39.88,-2.22,2011-03-11 14:39:10
111,27831,-42.17,-39.86,-2.31,2011-03-11 14:39:15
112,27832,-42.23,-39.84,-2.39,2011-03-11 14:39:20
113,27833,-42.28,-39.83,-2.45,2011-03-11 14:39:25
114,27834,-42.33,-39.81,-2.52,2011-03-11 14:39:30
115,27835,-42.36,-39.79,-2.57,2011-03-11 14:39:35
116,27836,-42.39,-39.77,-2.62,2011-03-11 14:39:40
117,27837,-42.42,-39.76,-2.66,2011-03-11 14:39:45
118,27838,-42.43,-39.74,-2.69,2011-03-11 14:39:50
119,27839,-42.45,-39.72,-2.73,2011-03-11 14:39:55
120,27840,-42.46,-39.71,-2.75,2011-03-11 14:40:00
121,27841,-42.47,-39.69,-2.78,2011-03-11 14:40:05
122,27842,-42.48,-39.67,-2.81,2011-03-11 14:40:10
123,27843,-42.49,-39.66,-2.83,2011-03-11 14:40:15
124,27844,-42.49,-39.64,-2.85,2011-03-11 14:40:20
125,27845,-42.5,-39.62,-2.88,2011-03-11 14:40:25
126,27846,-42.51,-39.6,-2.91,2011-03-11 14:40:30
127,27847,-42.52,-39.59,-2.93,2011-03-11 14:40:35
128,27848,-42.54,-39.57,-2.97,2011-03-11 14:40:40
129,27849,-42.55,-39.55,-3.0,2011-03-11 14:40:45
130,27850,-42.56,-39.54,-3.02,2011-03-11 14:40:50
131,27851,-42.56,-39.52,-3.04,2011-03-11 14:40:55
132,27852,-42.57,-39.5,-3.07,2011-03-11 14:41:00
133,27853,-42.57,-39.49,-3.08,2011-03-11 14:41:05
134,27854,-42.57,-39.47,-3.1,2011-03-11 14:41:10
135,27855,-42.57,-39.45,-3.12,2011-03-11 14:41:15
136,27856,-42.57,-39.43,-3.14,2011-03-11 14:41:20
137,27857,-42.56,-39.42,-3.14,2011-03-11 14:41:25
138,27858,-42.56,-39.4,-3.16,2011-03-11 14:41:30
139,27859,-42.55,-39.38,-3.17,2011-03-11 14:41:35
140,27860,-42.55,-39.36,-3.19,2011-03-11 14:41:40
141,27861,-42.54,-39.35,-3.19,2011-03-11 14:41:45
142,27862,-42.54,-39.33,-3.21,2011-03-11 14:41:50
143,27863,-42.53,-39.31,-3.22,2011-03-11 14:41:55
144,27864,-42.53,-39.3,-3.23,2011-03-11 14:42:00
145,27865,-42.52,-39.28,-3.24,2011-03-11 14:42:05
146,27866,-42.51,-39.26,-3.25,2011-03-11 14:42:10
147,27867,-42.5,-39.24,-3.26,2011-03-11 14:42:15
148,27868,-42.49,-39.23,-3.26,2011-03-11 14:42:20
149,27869,-42.47,-39.21,-3.26,2011-03-11 14:42:25
150,27870,-42.45,-39.19,-3.26,2011-03-11 14:42:30
151,27871,-42.43,-39.18,-3.25,2011-03-11 14:42:35
152,27872,-42.4,-39.16,-3.24,2011-03-11 14:42:40
153,27873,-42.36,-39.14,-3.22,2011-03-11 14:42:45
154,27874,-42.32,-39.12,-3.2,2011-03-11 14:42:50
155,27875,-42.27,-39.11,-3.16,2011-03-11 14:42:55
156,27876,-42.22,-39.09,-3.13,2011-03-11 14:43:00
157,27877,-42.16,-39.07,-3.09,2011-03-11 14:43:05
158,27878,-42.1,-39.05,-3.05,2011-03-11 14:43:10
159,27879,-42.04,-39.04,-3.0,2011-03-11 14:43:15
160,27880,-41.97,-39.02,-2.95,2011-03-11 14:43:20
161,27881,-41.9,-39.0,-2.9,2011-03-11 14:43:25
162,27882,-41.83,-38.98,-2.85,2011-03-11 14:43:30
163,27883,-41.75,-38.97,-2.78,2011-03-11 14:43:35
164,27884,-41.68,-38.95,-2.73,2011-03-11 14:43:40
165,27885,-41.61,-38.93,-2.68,2011-03-11 14:43:45
166,27886,-41.54,-38.91,-2.63,2011-03-11 14:43:50
167,27887,-41.47,-38.9,-2.57,2011-03-11 14:43:55
168,27888,-41.4,-38.88,-2.52,2011-03-11 14:44:00
169,27889,-41.34,-38.86,-2.48,2011-03-11 14:44:05
170,27890,-41.29,-38.84,-2.45,2011-03-11 14:44:10
171,27891,-41.23,-38.83,-2.4,2011-03-11 14:44:15
172,27892,-41.19,-38.81,-2.38,2011-03-11 14:44:20
173,27893,-41.14,-38.79,-2.35,2011-03-11 14:44:25
174,27894,-41.09,-38.77,-2.32,2011-03-11 14:44:30
175,27895,-41.04,-38.76,-2.28,2011-03-11 14:44:35
176,27896,-40.99,-38.74,-2.25,2011-03-11 14:44:40
177,27897,-40.94,-38.72,-2.22,2011-03-11 14:44:45
178,27898,-40.87,-38.7,-2.17,2011-03-11 14:44:50
179,27899,-40.8,-38.69,-2.11,2011-03-11 14:44:55
180,27900,-40.72,-38.67,-2.05,2011-03-11 14:45:00
181,27901,-40.63,-38.65,-1.98,2011-03-11 14:45:05
182,27902,-40.53,-38.63,-1.9,2011-03-11 14:45:10
183,27903,-40.44,-38.61,-1.83,2011-03-11 14:45:15
184,27904,-40.34,-38.6,-1.74,2011-03-11 14:45:20
185,27905,-40.24,-38.58,-1.66,2011-03-11 14:45:25
186,27906,-40.15,-38.56,-1.59,2011-03-11 14:45:30
187,27907,-40.06,-38.54,-1.52,2011-03-11 14:45:35
188,27908,-39.98,-38.53,-1.45,2011-03-11 14:45:40
189,27909,-39.91,-38.51,-1.4,2011-03-11 14:45:45
190,27910,-39.84,-38.49,-1.35,2011-03-11 14:45:50
191,27911,-39.79,-38.47,-1.32,2011-03-11 14:45:55
192,27912,-39.75,-38.46,-1.29,2011-03-11 14:46:00
193,27913,-39.71,-38.44,-1.27,2011-03-11 14:46:05
194,27914,-39.68,-38.42,-1.26,2011-03-11 14:46:10
195,27915,-39.65,-38.4,-1.25,2011-03-11 14:46:15
196,27916,-39.63,-38.38,-1.25,2011-03-11 14:46:20
197,27917,-39.61,-38.37,-1.24,2011-03-11 14:46:25
198,27918,-39.6,-38.35,-1.25,2011-03-11 14:46:30
199,27919,-39.58,-38.33,-1.25,2011-03-11 14:46:35
200,27920,-39.56,-38.31,-1.25,2011-03-11 14:46:40
