,index,observed,astoro,deviation,datetime
0,28080,-49.62,-44.06,-5.56,2011-03-11 15:00:00
1,28081,-49.71,-44.05,-5.66,2011-03-11 15:00:05
2,28082,-50.81,-44.03,-6.78,2011-03-11 15:00:10
3,28083,-51.56,-44.01,-7.55,2011-03-11 15:00:15
4,28084,-51.37,-43.99,-7.38,2011-03-11 15:00:20
5,28085,-51.39,-43.97,-7.42,2011-03-11 15:00:25
6,28086,-51.56,-43.95,-7.61,2011-03-11 15:00:30
7,28087,-51.38,-43.93,-7.45,2011-03-11 15:00:35
8,28088,-51.49,-43.92,-7.57,2011-03-11 15:00:40
9,28089,-51.72,-43.9,-7.82,2011-03-11 15:00:45
10,28090,-50.87,-43.88,-6.99,2011-03-11 15:00:50
11,28091,-49.8,-43.86,-5.94,2011-03-11 15:00:55
12,28092,-50.25,-43.84,-6.41,2011-03-11 15:01:00
13,28093,-51.48,-43.82,-7.66,2011-03-11 15:01:05
14,28094,-52.15,-43.8,-8.35,2011-03-11 15:01:10
15,28095,-52.77,-43.79,-8.98,2011-03-11 15:01:15
16,28096,-53.42,-43.77,-9.65,2011-03-11 15:01:20
17,28097,-53.26,-43.75,-9.51,2011-03-11 15:01:25
18,28098,-52.67,-43.73,-8.94,2011-03-11 15:01:30
19,28099,-52.46,-43.71,-8.75,2011-03-11 15:01:35
20,28100,-52.23,-43.69,-8.54,2011-03-11 15:01:40
21,28101,-52.23,-43.67,-8.56,2011-03-11 15:01:45
22,28102,-53.22,-43.66,-9.56,2011-03-11 15:01:50
23,28103,-54.48,-43.64,-10.84,2011-03-11 15:01:55
24,28104,-54.36,-43.62,-10.74,2011-03-11 15:02:00
25,28105,-52.89,-43.6,-9.29,2011-03-11 15:02:05
26,28106,-51.66,-43.58,-8.08,2011-03-11 15:02:10
27,28107,-51.8,-43.56,-8.24,2011-03-11 15:02:15
28,28108,-52.94,-43.54,-9.4,2011-03-11 15:02:20
29,28109,-53.68,-43.53,-10.15,2011-03-11 15:02:25
30,28110,-53.64,-43.51,-10.13,2011-03-11 15:02:30
31,28111,-53.44,-43.49,-9.95,2011-03-11 15:02:35
32,28112,-53.73,-43.47,-10.26,2011-03-11 15:02:40
33,28113,-54.42,-43.45,-10.97,2011-03-11 15:02:45
34,28114,-55.06,-43.43,-11.63,2011-03-11 15:02:50
35,28115,-55.15,-43.41,-11.74,2011-03-11 15:02:55
36,28116,-55.1,-43.39,-11.71,2011-03-11 15:03:00
37,28117,-55.76,-43.37,-12.39,2011-03-11 15:03:05
38,28118,-56.38,-43.36,-13.02,2011-03-11 15:03:10
39,28119,-55.53,-43.34,-12.19,2011-03-11 15:03:15
40,28120,-54.5,-43.32,-11.18,2011-03-11 15:03:20
41,28121,-55.54,-43.3,-12.24,2011-03-11 15:03:25
