,index,observed,astoro,deviation,datetime
0,10800,53.17,50.0,3.17,2011-03-11 15:00:00
1,10801,53.43,50.0,3.43,2011-03-11 15:00:05
2,10802,53.7,50.01,3.69,2011-03-11 15:00:10
3,10803,53.94,50.02,3.92,2011-03-11 15:00:15
4,10804,54.16,50.03,4.13,2011-03-11 15:00:20
5,10805,54.37,50.03,4.34,2011-03-11 15:00:25
6,10806,54.56,50.04,4.52,2011-03-11 15:00:30
7,10807,54.74,50.05,4.69,2011-03-11 15:00:35
8,10808,54.9,50.06,4.84,2011-03-11 15:00:40
9,10809,55.04,50.07,4.97,2011-03-11 15:00:45
10,10810,55.12,50.08,5.04,2011-03-11 15:00:50
11,10811,55.15,50.08,5.07,2011-03-11 15:00:55
12,10812,55.15,50.09,5.06,2011-03-11 15:01:00
13,10813,55.1,50.1,5.0,2011-03-11 15:01:05
14,10814,55.06,50.11,4.95,2011-03-11 15:01:10
15,10815,55.04,50.12,4.92,2011-03-11 15:01:15
16,10816,55.03,50.13,4.9,2011-03-11 15:01:20
17,10817,55.0,50.13,4.87,2011-03-11 15:01:25
18,10818,54.96,50.14,4.82,2011-03-11 15:01:30
19,10819,54.95,50.15,4.8,2011-03-11 15:01:35
20,10820,54.97,50.16,4.81,2011-03-11 15:01:40
21,10821,55.03,50.17,4.86,2011-03-11 15:01:45
22,10822,55.12,50.18,4.94,2011-03-11 15:01:50
23,10823,55.22,50.18,5.04,2011-03-11 15:01:55
24,10824,55.3,50.19,5.11,2011-03-11 15:02:00
25,10825,55.35,50.2,5.15,2011-03-11 15:02:05
26,10826,55.36,50.21,5.15,2011-03-11 15:02:10
27,10827,55.34,50.22,5.12,2011-03-11 15:02:15
28,10828,55.29,50.23,5.06,2011-03-11 15:02:20
29,10829,55.23,50.24,4.99,2011-03-11 15:02:25
30,10830,55.16,50.24,4.92,2011-03-11 15:02:30
31,10831,55.07,50.25,4.82,2011-03-11 15:02:35
32,10832,54.97,50.26,4.71,2011-03-11 15:02:40
33,10833,54.85,50.27,4.58,2011-03-11 15:02:45
34,10834,54.75,50.28,4.47,2011-03-11 15:02:50
35,10835,54.69,50.29,4.4,2011-03-11 15:02:55
36,10836,54.68,50.3,4.38,2011-03-11 15:03:00
37,10837,54.74,50.31,4.43,2011-03-11 15:03:05
38,10838,54.82,50.31,4.51,2011-03-11 15:03:10
39,10839,54.93,50.32,4.61,2011-03-11 15:03:15
40,10840,55.04,50.33,4.71,2011-03-11 15:03:20
41,10841,55.15,50.34,4.81,2011-03-11 15:03:25
42,10842,55.29,50.35,4.94,2011-03-11 15:03:30
43,10843,55.44,50.36,5.08,2011-03-11 15:03:35
44,10844,55.59,50.37,5.22,2011-03-11 15:03:40
45,10845,55.72,50.38,5.34,2011-03-11 15:03:45
46,10846,55.81,50.39,5.42,2011-03-11 15:03:50
47,10847,55.86,50.4,5.46,2011-03-11 15:03:55
48,10848,55.89,50.41,5.48,2011-03-11 15:04:00
49,10849,55.91,50.41,5.5,2011-03-11 15:04:05
50,10850,55.9,50.42,5.48,2011-03-11 15:04:10
51,10851,55.86,50.43,5.43,2011-03-11 15:04:15
52,10852,55.78,50.44,5.34,2011-03-11 15:04:20
53,10853,55.69,50.45,5.24,2011-03-11 15:04:25
54,10854,55.59,50.46,5.13,2011-03-11 15:04:30
55,10855,55.47,50.47,5.0,2011-03-11 15:04:35
56,10856,55.35,50.48,4.87,2011-03-11 15:04:40
57,10857,55.26,50.49,4.77,2011-03-11 15:04:45
58,10858,55.2,50.5,4.7,2011-03-11 15:04:50
59,10859,55.18,50.51,4.67,2011-03-11 15:04:55
60,10860,55.19,50.52,4.67,2011-03-11 15:05:00
61,10861,55.24,50.53,4.71,2011-03-11 15:05:05
62,10862,55.33,50.54,4.79,2011-03-11 15:05:10
63,10863,55.46,50.55,4.91,2011-03-11 15:05:15
64,10864,55.61,50.55,5.06,2011-03-11 15:05:20
65,10865,55.78,50.56,5.22,2011-03-11 15:05:25
66,10866,55.93,50.57,5.36,2011-03-11 15:05:30
67,10867,56.05,50.58,5.47,2011-03-11 15:05:35
68,10868,56.14,50.59,5.55,2011-03-11 15:05:40
69,10869,56.18,50.6,5.58,2011-03-11 15:05:45
70,10870,56.19,50.61,5.58,2011-03-11 15:05:50
71,10871,56.17,50.62,5.55,2011-03-11 15:05:55
72,10872,56.12,50.63,5.49,2011-03-11 15:06:00
73,10873,56.02,50.64,5.38,2011-03-11 15:06:05
74,10874,55.91,50.65,5.26,2011-03-11 15:06:10
75,10875,55.79,50.66,5.13,2011-03-11 15:06:15
76,10876,55.71,50.67,5.04,2011-03-11 15:06:20
77,10877,55.66,50.68,4.98,2011-03-11 15:06:25
78,10878,55.63,50.69,4.94,2011-03-11 15:06:30
79,10879,55.62,50.7,4.92,2011-03-11 15:06:35
80,10880,55.64,50.71,4.93,2011-03-11 15:06:40
81,10881,55.66,50.72,4.94,2011-03-11 15:06:45
82,10882,55.68,50.73,4.95,2011-03-11 15:06:50
83,10883,55.71,50.74,4.97,2011-03-11 15:06:55
84,10884,55.76,50.75,5.01,2011-03-11 15:07:00
85,10885,55.82,50.76,5.06,2011-03-11 15:07:05
86,10886,55.86,50.77,5.09,2011-03-11 15:07:10
87,10887,55.87,50.78,5.09,2011-03-11 15:07:15
88,10888,55.84,50.79,5.05,2011-03-11 15:07:20
89,10889,55.8,50.8,5.0,2011-03-11 15:07:25
90,10890,55.77,50.81,4.96,2011-03-11 15:07:30
91,10891,55.76,50.82,4.94,2011-03-11 15:07:35
92,10892,55.75,50.83,4.92,2011-03-11 15:07:40
93,10893,55.74,50.84,4.9,2011-03-11 15:07:45
94,10894,55.72,50.85,4.87,2011-03-11 15:07:50
95,10895,55.69,50.86,4.83,2011-03-11 15:07:55
96,10896,55.68,50.87,4.81,2011-03-11 15:08:00
