,index,observed,astoro,deviation,datetime
0,28080,4672.2,4694.7,-22.5,2011-03-11 15:00:00
1,28081,4672.2,4694.71,-22.51,2011-03-11 15:00:05
2,28082,4672.3,4694.73,-22.43,2011-03-11 15:00:10
3,28083,4672.4,4694.75,-22.35,2011-03-11 15:00:15
4,28084,4672.7,4694.77,-22.07,2011-03-11 15:00:20
5,28085,4673.0,4694.79,-21.79,2011-03-11 15:00:25
6,28086,4673.7,4694.81,-21.11,2011-03-11 15:00:30
7,28087,4674.4,4694.82,-20.42,2011-03-11 15:00:35
8,28088,4675.3,4694.84,-19.54,2011-03-11 15:00:40
9,28089,4676.5,4694.86,-18.36,2011-03-11 15:00:45
10,28090,4677.7,4694.88,-17.18,2011-03-11 15:00:50
11,28091,4679.2,4694.9,-15.7,2011-03-11 15:00:55
12,28092,4680.9,4694.91,-14.01,2011-03-11 15:01:00
13,28093,4682.6,4694.93,-12.33,2011-03-11 15:01:05
14,28094,4684.5,4694.95,-10.45,2011-03-11 15:01:10
15,28095,4686.5,4694.97,-8.47,2011-03-11 15:01:15
16,28096,4688.6,4694.99,-6.39,2011-03-11 15:01:20
17,28097,4690.9,4695.01,-4.11,2011-03-11 15:01:25
18,28098,4693.1,4695.02,-1.92,2011-03-11 15:01:30
19,28099,4695.5,4695.04,0.46,2011-03-11 15:01:35
20,28100,4697.8,4695.06,2.74,2011-03-11 15:01:40
21,28101,4700.3,4695.08,5.22,2011-03-11 15:01:45
22,28102,4702.7,4695.1,7.6,2011-03-11 15:01:50
23,28103,4705.2,4695.12,10.08,2011-03-11 15:01:55
24,28104,4707.6,4695.13,12.47,2011-03-11 15:02:00
25,28105,4710.0,4695.15,14.85,2011-03-11 15:02:05
26,28106,4712.5,4695.17,17.33,2011-03-11 15:02:10
27,28107,4714.8,4695.19,19.61,2011-03-11 15:02:15
28,28108,4717.4,4695.21,22.19,2011-03-11 15:02:20
29,28109,4719.6,4695.23,24.37,2011-03-11 15:02:25
30,28110,4722.2,4695.24,26.96,2011-03-11 15:02:30
31,28111,4724.6,4695.26,29.34,2011-03-11 15:02:35
32,28112,4727.2,4695.28,31.92,2011-03-11 15:02:40
33,28113,4729.7,4695.3,34.4,2011-03-11 15:02:45
34,28114,4732.4,4695.32,37.08,2011-03-11 15:02:50
35,28115,4735.2,4695.34,39.86,2011-03-11 15:02:55
36,28116,4738.0,4695.35,42.65,2011-03-11 15:03:00
37,28117,4741.1,4695.37,45.73,2011-03-11 15:03:05
38,28118,4744.1,4695.39,48.71,2011-03-11 15:03:10
39,28119,4747.3,4695.41,51.89,2011-03-11 15:03:15
40,28120,4750.6,4695.43,55.17,2011-03-11 15:03:20
41,28121,4753.9,4695.45,58.45,2011-03-11 15:03:25
42,28122,4757.3,4695.46,61.84,2011-03-11 15:03:30
43,28123,4760.6,4695.48,65.12,2011-03-11 15:03:35
44,28124,4763.9,4695.5,68.4,2011-03-11 15:03:40
