observed,astoro,observed_5s,observed_10s,observed_15s,observed_20s,observed_25s,observed_30s,observed_35s,observed_40s,observed_45s,observed_50s,observed_55s,observed_60s,observed+318T,observed+317T,observed+315T,observed+319T,observed+802G,observed+804G,observed+803G,observed+806G
4726.83,4690.9,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,4717.22,4715.89,4714.63,4713.71,4712.39,4711.34,95.16,67.79,66.62,93.19,52.7,4387.2,4680.9,4495.5
4728.27,4690.92,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,4717.22,4715.89,4714.63,4713.71,4712.39,95.31,67.76,66.79,93.16,55.87,4388.6,4682.6,4496.6
4729.88,4690.94,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,4717.22,4715.89,4714.63,4713.71,95.43,67.71,67.01,93.11,58.98,4390.1,4684.5,4497.7
4731.36,4690.95,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,4717.22,4715.89,4714.63,95.52,67.62,67.23,93.03,62.28,4391.6,4686.5,4498.8
4732.83,4690.97,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,4717.22,4715.89,95.57,67.51,67.45,92.93,65.51,4393.1,4688.6,4499.9
4734.36,4690.99,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,4717.22,95.6,67.36,67.65,92.81,69.0,4394.5,4690.9,4501.2
4735.82,4691.01,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,4718.21,95.58,67.19,67.82,92.67,72.31,4396.0,4693.1,4502.3
4737.1,4691.02,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,4719.74,95.53,66.98,67.95,92.52,75.89,4397.4,4695.5,4503.5
4738.55,4691.04,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,4720.88,95.43,66.76,68.02,92.38,79.43,4398.8,4697.8,4504.8
4739.76,4691.06,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,4722.42,95.29,66.52,68.02,92.26,83.09,4400.2,4700.3,4506.2
4741.09,4691.08,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,4723.77,95.12,66.28,67.95,92.17,86.84,4401.7,4702.7,4507.7
4742.16,4691.09,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,4725.31,94.92,66.07,67.81,92.13,90.5,4403.0,4705.2,4509.0
4743.37,4691.11,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,4726.83,94.7,65.89,67.62,92.11,94.36,4404.5,4707.6,4510.5
4744.35,4691.13,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,4728.27,94.46,65.73,67.41,92.12,98.19,4405.9,4710.0,4512.0
4745.3,4691.15,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,4729.88,94.23,65.62,67.19,92.14,102.06,4407.3,4712.5,4513.3
4746.18,4691.17,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,4731.36,93.99,65.56,66.99,92.17,106.08,4408.8,4714.8,4514.9
4747.0,4691.18,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,4732.83,93.76,65.53,66.8,92.2,110.01,4410.2,4717.4,4516.2
4747.5,4691.2,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,4734.36,93.54,65.53,66.64,92.21,114.12,4411.7,4719.6,4517.6
4748.22,4691.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,4735.82,93.35,65.56,66.55,92.21,118.15,4413.2,4722.2,4518.9
4748.47,4691.24,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,4737.1,93.17,65.62,66.52,92.17,122.24,4414.8,4724.6,4520.1
4748.71,4691.25,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,4738.55,93.02,65.67,66.54,92.11,126.43,4416.3,4727.2,4521.2
4748.79,4691.27,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,4739.76,92.89,65.72,66.6,92.03,130.63,4417.8,4729.7,4522.2
4748.64,4691.29,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,4741.09,92.79,65.76,66.68,91.94,134.86,4419.4,4732.4,4523.2
4748.42,4691.31,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,4742.16,92.71,65.78,66.75,91.86,139.27,4421.0,4735.2,4523.9
4748.03,4691.33,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,4743.37,92.66,65.78,66.83,91.8,143.56,4422.6,4738.0,4524.7
4747.56,4691.34,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,4744.35,92.63,65.76,66.89,91.77,147.96,4424.3,4741.1,4525.4
4747.08,4691.36,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,4745.3,92.63,65.72,66.92,91.78,152.25,4426.0,4744.1,4526.0
4746.45,4691.38,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,4746.18,92.67,65.67,66.91,91.82,156.66,4427.8,4747.3,4526.6
4746.05,4691.4,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,4747.0,92.73,65.62,66.86,91.9,161.08,4429.5,4750.6,4527.0
4745.5,4691.41,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,4747.5,92.83,65.56,66.77,92.0,165.28,4431.3,4753.9,4527.3
4745.3,4691.43,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,4748.22,92.96,65.49,66.65,92.12,169.73,4433.0,4757.3,4527.7
4745.31,4691.45,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,4748.47,93.12,65.42,66.49,92.25,173.94,4434.9,4760.6,4527.8
4745.39,4691.47,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,4748.71,93.29,65.37,66.33,92.37,178.14,4436.8,4763.9,4528.1
4745.99,4691.49,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,4748.79,93.48,65.32,66.18,92.46,182.48,4438.8,4767.1,4528.0
4746.63,4691.5,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,4748.64,93.67,65.29,66.02,92.53,186.29,4440.8,4770.2,4528.2
4747.83,4691.52,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,4748.42,93.86,65.25,65.88,92.58,190.34,4443.0,4773.2,4528.0
4749.11,4691.54,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,4748.03,94.04,65.2,65.74,92.61,194.02,4445.2,4776.0,4528.0
4750.98,4691.56,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,4747.56,94.2,65.15,65.62,92.62,197.57,4447.5,4778.7,4527.9
4752.84,4691.58,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,4747.08,94.33,65.09,65.51,92.62,201.15,4449.7,4781.2,4527.7
4755.04,4691.59,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,4746.45,94.44,65.02,65.41,92.62,204.22,4452.2,4783.7,4527.4
4757.47,4691.61,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,4746.05,94.52,64.93,65.33,92.63,207.4,4454.6,4786.0,4527.2
4759.9,4691.63,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,4745.5,94.55,64.85,65.28,92.65,210.28,4457.1,4788.4,4526.9
4762.49,4691.65,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,4745.3,94.54,64.76,65.26,92.69,213.0,4459.7,4790.5,4526.6
4765.04,4691.67,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,4745.31,94.51,64.67,65.26,92.75,215.59,4462.2,4792.8,4526.2
4767.48,4691.68,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,4745.39,94.44,64.58,65.28,92.82,217.89,4464.8,4795.1,4525.8
4770.06,4691.7,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,4745.99,94.35,64.5,65.31,92.89,220.1,4467.5,4797.4,4525.4
4772.33,4691.72,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,4746.63,94.22,64.42,65.37,92.95,222.29,4470.1,4799.8,4525.0
4774.74,4691.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,4747.83,94.08,64.35,65.46,93.0,224.09,4472.7,4802.0,4524.5
4776.9,4691.76,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,4749.11,93.91,64.29,65.58,93.02,226.12,4475.4,4804.6,4523.9
4779.18,4691.77,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,4750.98,93.73,64.24,65.69,93.02,227.76,4477.9,4807.0,4523.4
4781.22,4691.79,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,4752.84,93.52,64.2,65.8,92.98,229.37,4480.6,4809.5,4522.8
4783.5,4691.81,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,4755.04,93.3,64.16,65.91,92.93,231.0,4483.1,4812.1,4522.3
4785.61,4691.83,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,4757.47,93.07,64.13,66.01,92.86,232.18,4485.8,4814.5,4521.8
4787.95,4691.85,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,4759.9,92.85,64.09,66.1,92.76,233.8,4488.4,4817.0,4521.3
4790.2,4691.86,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,4762.49,92.62,64.05,66.17,92.66,234.73,4491.1,4819.4,4520.8
4792.74,4691.88,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,4765.04,92.39,64.01,66.22,92.56,235.94,4493.7,4821.9,4520.4
4795.23,4691.9,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,4767.48,92.17,63.97,66.26,92.46,236.97,4496.4,4824.2,4519.9
4797.84,4691.92,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,4770.06,91.97,63.91,66.31,92.39,237.76,4498.9,4826.6,4519.6
4800.63,4691.94,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,4772.33,91.79,63.86,66.36,92.35,238.65,4501.4,4829.2,4519.2
4803.35,4691.95,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,4774.74,91.65,63.8,66.41,92.33,239.19,4503.8,4831.8,4518.9
4806.23,4691.97,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,4776.9,91.53,63.74,66.45,92.32,239.77,4505.9,4834.6,4518.7
4808.87,4691.99,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,4779.18,91.44,63.67,66.48,92.33,240.25,4508.1,4837.5,4518.3
4811.77,4692.01,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,4781.22,91.39,63.61,66.52,92.35,240.54,4510.0,4840.7,4518.2
4814.37,4692.03,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,4783.5,91.36,63.55,66.57,92.38,240.96,4511.7,4844.1,4517.7
4816.98,4692.05,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,4785.61,91.36,63.48,66.6,92.42,241.2,4513.1,4847.7,4517.4
4819.62,4692.06,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,4787.95,91.38,63.4,66.62,92.47,241.37,4514.3,4851.6,4517.1
4822.19,4692.08,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,4790.2,91.42,63.32,66.61,92.51,241.63,4515.2,4855.9,4516.6
4824.63,4692.1,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,4792.74,91.48,63.23,66.55,92.54,241.78,4515.9,4860.2,4516.3
4827.3,4692.12,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,4795.23,91.56,63.14,66.46,92.57,242.07,4516.4,4865.0,4515.7
4829.73,4692.14,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,4797.84,91.65,63.04,66.35,92.59,242.41,4516.7,4869.8,4515.1
4832.44,4692.15,4829.73,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,4800.63,91.76,62.94,66.21,92.61,242.81,4516.8,4875.0,4514.7
4834.93,4692.17,4832.44,4829.73,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,4803.35,91.89,62.84,66.06,92.64,243.38,4516.8,4880.3,4514.1
4837.9,4692.19,4834.93,4832.44,4829.73,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,4806.23,92.04,62.73,65.88,92.67,243.84,4516.6,4885.7,4513.4
4840.54,4692.21,4837.9,4834.93,4832.44,4829.73,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,4808.87,92.2,62.63,65.68,92.72,244.65,4516.4,4891.3,4512.8
4843.72,4692.23,4840.54,4837.9,4834.93,4832.44,4829.73,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,4811.77,92.37,62.53,65.5,92.76,245.49,4516.0,4896.8,4511.9
4846.82,4692.25,4843.72,4840.54,4837.9,4834.93,4832.44,4829.73,4827.3,4824.63,4822.19,4819.62,4816.98,4814.37,92.56,62.46,65.33,92.81,246.46,4515.7,4902.5,4511.2
